eu também. mal posso esperar até o inverno.;eu gosto de inverno também, mas às vezes fica muito frio.
eu gosto de inverno também, mas às vezes fica muito frio.;eu prefiro ser frio do que quente.
eu prefiro ser frio do que quente.;eu também.
não parece muito bom lá fora hoje.;você tem razão. acho que vai chover mais tarde.
você tem razão. acho que vai chover mais tarde.;no meio do verão, não deve chover.
no meio do verão, não deve chover.;isso não pareceria certo.
isso não pareceria certo.;considerando que está mais de noventa graus lá fora, isso seria estranho.
considerando que está mais de noventa graus lá fora, isso seria estranho.;exatamente, não seria bom se começasse a chover. Esta muito quente.
exatamente, não seria bom se começasse a chover. Esta muito quente.;eu sei, você está absolutamente certo.
eu sei, você está absolutamente certo.;gostaria que um dia se acalmasse.
gostaria que um dia se acalmasse.;é assim que me sinto, quero que o inverno chegue logo.
é assim que me sinto, quero que o inverno chegue logo.;Eu gosto do inverno, mas às vezes fica muito frio.
Eu gosto do inverno, mas às vezes fica muito frio.;Eu sei o que você quer dizer, mas eu prefiro ser frio do que quente.
Eu sei o que você quer dizer, mas eu prefiro ser frio do que quente.;é exatamente assim que me sinto.
eu queria que fosse um dia melhor hoje.;isso é verdade. espero que não chova.
isso é verdade. espero que não chova.;não choveria no meio do verão.
não choveria no meio do verão.;não pareceria certo se começasse a chover agora.
não pareceria certo se começasse a chover agora.;seria estranho se começasse a chover com tempo de noventa graus.
seria estranho se começasse a chover com tempo de noventa graus.;qualquer chuva agora seria inútil.
qualquer chuva agora seria inútil.;isso mesmo, realmente seria.
isso mesmo, realmente seria.;quero que esfrie um pouco.
quero que esfrie um pouco.;eu sei o que você quer dizer, eu não posso esperar até que seja inverno.
eu sei o que você quer dizer, eu não posso esperar até que seja inverno.;o inverno é ótimo. Eu gostaria que não ficasse tão frio às vezes.
o inverno é ótimo. Eu gostaria que não ficasse tão frio às vezes.;Prefiro lidar com o inverno do que com o verão.
é um dia tão bom.;Sim, ele é.
Sim, ele é.;parece que pode chover em breve.
parece que pode chover em breve.;sim, e espero que sim.
sim, e espero que sim.;por que é que?
por que é que?;eu realmente amo como a chuva limpa o ar.
eu realmente amo como a chuva limpa o ar.;eu também. sempre cheira tão fresco depois da chuva.
eu também. sempre cheira tão fresco depois da chuva.;sim, mas eu amo o ar da noite depois que chove.
sim, mas eu amo o ar da noite depois que chove.;Sério? por que é?
Sério? por que é?;porque você pode ver as estrelas perfeitamente.
porque você pode ver as estrelas perfeitamente.;eu realmente espero que chova hoje.
eu realmente espero que chova hoje.;sim eu também.
não é um bom dia?;é realmente.
é realmente.;parece que pode chover hoje.
parece que pode chover hoje.;espero que sim.
espero que sim.;Por quê?
Por quê?;eu gosto de como o céu fica claro depois que chove.
eu gosto de como o céu fica claro depois que chove.;Eu me sinto da mesma forma. cheira tão bem depois da chuva.
Eu me sinto da mesma forma. cheira tão bem depois da chuva.;eu amo especialmente o ar da noite quando chove.
eu amo especialmente o ar da noite quando chove.;Sério? porque?
Sério? porque?;as estrelas parecem muito mais próximas depois da chuva.
as estrelas parecem muito mais próximas depois da chuva.;eu realmente quero que chova hoje.
eu realmente quero que chova hoje.;sim, eu também.
não acha legal sair?;Sim, eu também acho.
Sim, eu também acho.;acho que vai chover.
acho que vai chover.;espero que chova.
espero que chova.;você gosta da chuva?
você gosta da chuva?;o céu parece tão limpo depois que chove. eu amo isso.
o céu parece tão limpo depois que chove. eu amo isso.;Compreendo. a chuva deixa o cheiro mais limpo.
Compreendo. a chuva deixa o cheiro mais limpo.;eu amo mais como é à noite depois que chove.
eu amo mais como é à noite depois que chove.;Por quê?
Por quê?;você pode ver as estrelas muito mais claramente depois que chove.
você pode ver as estrelas muito mais claramente depois que chove.;eu adoraria que chovesse hoje.
Eu realmente quero ir à praia neste fim de semana.;Isso parece divertido. como vai ser o tempo?
Isso parece divertido. como vai ser o tempo?;Ouvi dizer que vai fazer calor este fim de semana.
Ouvi dizer que vai fazer calor este fim de semana.;será o clima de praia perfeito?
será o clima de praia perfeito?;eu acredito que sim.
eu acredito que sim.;Boa. espero que não esfrie neste fim de semana.
Boa. espero que não esfrie neste fim de semana.;eu sei. quero muito ir à praia.
eu sei. quero muito ir à praia.;mas você sabe que o clima da Califórnia é realmente imprevisível.
mas você sabe que o clima da Califórnia é realmente imprevisível.;você tem razão. num minuto está quente e no minuto seguinte está frio.
você tem razão. num minuto está quente e no minuto seguinte está frio.;Eu realmente gostaria que o tempo continuasse o mesmo.
Eu realmente gostaria que o tempo continuasse o mesmo.;eu também. dessa forma podemos ter nossas atividades planejadas com antecedência.
eu também. dessa forma podemos ter nossas atividades planejadas com antecedência.;sim, isso facilitaria muito as coisas.
eu gostaria de fazer uma viagem para a praia neste fim de semana.;uma viagem para a praia seria divertido. como vai ficar o tempo?
uma viagem para a praia seria divertido. como vai ficar o tempo?;a previsão diz que fará calor no fim de semana.
a previsão diz que fará calor no fim de semana.;então você acha que vai ser o clima perfeito para a praia?
então você acha que vai ser o clima perfeito para a praia?;parece que vai ser.
parece que vai ser.;eu realmente espero que não esfrie.
eu realmente espero que não esfrie.;isso iria arruinar as coisas, eu quero tanto ir.
isso iria arruinar as coisas, eu quero tanto ir.;o clima na Califórnia é imprevisível, então você nunca sabe.
o clima na Califórnia é imprevisível, então você nunca sabe.;isso é verdade. o clima muda constantemente.
isso é verdade. o clima muda constantemente.;seria bom se o tempo nunca mudasse.
seria bom se o tempo nunca mudasse.;isso seria ótimo, então poderíamos planejar as coisas mais cedo.
isso seria ótimo, então poderíamos planejar as coisas mais cedo.;verdadeiro. tempo previsível tornaria a vida mais fácil.
seria bom ir à praia em algum momento neste fim de semana.;como vai ser o tempo? eu posso querer ir também.
como vai ser o tempo? eu posso querer ir também.;o clima neste fim de semana deve ser quente.
o clima neste fim de semana deve ser quente.;será bom tempo de praia?
será bom tempo de praia?;Eu acho que será.
Eu acho que será.;não seria bom se ficasse frio neste fim de semana.
não seria bom se ficasse frio neste fim de semana.;quero que esta viagem seja perfeita, espero que continue quente.
quero que esta viagem seja perfeita, espero que continue quente.;este clima californiano é tão incerto, é impossível saber o que vai acontecer.
este clima californiano é tão incerto, é impossível saber o que vai acontecer.;eu sei. todos os dias o clima parece diferente.
eu sei. todos os dias o clima parece diferente.;eu adoraria se não fosse sempre tão imprevisível.
eu adoraria se não fosse sempre tão imprevisível.;isso tornaria mais fácil para nós fazermos planos.
Olá, posso falar com Alice por favor?;essa é ela. como tá indo?
essa é ela. como tá indo?;Estou tentando te ligar o dia todo.
Estou tentando te ligar o dia todo.;me desculpe por isso. eu estava limpando.
me desculpe por isso. eu estava limpando.;está bem.
está bem.;então sobre o que você estava me chamando?
então sobre o que você estava me chamando?;oh, eu só queria ver se você queria sair amanhã.
oh, eu só queria ver se você queria sair amanhã.;claro, o que você queria fazer?
claro, o que você queria fazer?;talvez possamos ir ver um filme ou algo assim.
talvez possamos ir ver um filme ou algo assim.;Isso parece divertido. vamos fazer isso.
Isso parece divertido. vamos fazer isso.;te vejo amanhã então.
te vejo amanhã então.;vejo você então. adeus.
Oi como você está. Alice está aí?;Falando. e aí?
Falando. e aí?;por que você não atendeu o telefone?
por que você não atendeu o telefone?;meu mal, eu tinha tarefas a fazer.
meu mal, eu tinha tarefas a fazer.;está tudo bem.
está tudo bem.;qual foi o motivo da sua ligação?
qual foi o motivo da sua ligação?;Eu quero fazer algo amanhã com você.
Eu quero fazer algo amanhã com você.;soa bem. o que voce tinha em mente?
soa bem. o que voce tinha em mente?;estava pensando em ver um filme.
estava pensando em ver um filme.;ok, vamos ver um filme.
ok, vamos ver um filme.;até então.
até então.;Falo com você mais tarde.
Alice está disponível?;você está falando com ela.
você está falando com ela.;Eu liguei para você uma centena de vezes hoje.
Eu liguei para você uma centena de vezes hoje.;eu estava ocupado fazendo alguma coisa. Peço desculpas.
eu estava ocupado fazendo alguma coisa. Peço desculpas.;sem problemas.
sem problemas.;Você precisava de algo?
Você precisava de algo?;você quer fazer algo amanhã?
você quer fazer algo amanhã?;há algum lugar especial que você queria ir?
há algum lugar especial que você queria ir?;Que tal um filme?
Que tal um filme?;um filme soa bem.
um filme soa bem.;me ligue amanhã então.
você viu a garota nova na escola?;não, eu não tenho.
não, eu não tenho.;ela é muito bonita.
ela é muito bonita.;descreva-a para mim.
descreva-a para mim.;ela não é muito alta.
ela não é muito alta.;bem, qual a altura dela?
bem, qual a altura dela?;ela tem cerca de um metro e meio.
ela tem cerca de um metro e meio.;como ela se parece, no entanto?
como ela se parece, no entanto?;ela tem olhos castanhos bem claros.
ela tem olhos castanhos bem claros.;Eu posso saber de qual garota você está falando.
Eu posso saber de qual garota você está falando.;então você a viu por aí?
então você a viu por aí?;Sim, eu tenho.
tem uma garota nova na escola, você já a viu?;ainda não a vi.
ainda não a vi.;acho ela muito bonita.
acho ela muito bonita.;me diga como ela se parece.
me diga como ela se parece.;ela é meio baixinha.
ela é meio baixinha.;que altura ela tem?
que altura ela tem?;ela é provavelmente cerca de cinco pés.
ela é provavelmente cerca de cinco pés.;isso é legal, mas me diga como ela é.
isso é legal, mas me diga como ela é.;a primeira coisa que notei foram seus lindos olhos castanhos.
a primeira coisa que notei foram seus lindos olhos castanhos.;eu acho que eu poderia ter esbarrado nela antes.
eu acho que eu poderia ter esbarrado nela antes.;você está me dizendo que já a viu antes?
você está me dizendo que já a viu antes?;eu acredito que sim.
você conheceu a nova garota?;não. ter você?
não. ter você?;ela é uma das garotas mais bonitas da escola.
ela é uma das garotas mais bonitas da escola.;como ela se parece?
como ela se parece?;bem, ela é bem baixinha.
bem, ela é bem baixinha.;qual a altura que você diria que ela é?
qual a altura que você diria que ela é?;eu diria que ela tem apenas um metro e meio.
eu diria que ela tem apenas um metro e meio.;e as feições dela?
e as feições dela?;ela tem olhos castanhos claros, absolutamente lindos.
ela tem olhos castanhos claros, absolutamente lindos.;acho que sei de quem você está falando.
acho que sei de quem você está falando.;você viu ela?
por que você não estava na escola ontem?;eu não estava realmente me sentindo bem.
eu não estava realmente me sentindo bem.;o que estava errado com você?
o que estava errado com você?;meu estômago estava embrulhado.
meu estômago estava embrulhado.;Você se sente melhor agora?
Você se sente melhor agora?;eu realmente não me sinto muito bem ainda.
eu realmente não me sinto muito bem ainda.;você quer algo para fazer você se sentir melhor?
você quer algo para fazer você se sentir melhor?;não, obrigado. já tomei um remédio.
não, obrigado. já tomei um remédio.;espero que você se sinta melhor.
espero que você se sinta melhor.;obrigada.
que motivo você tem para faltar à escola?;Estive doente.
Estive doente.;como você estava doente?
como você estava doente?;eu tive uma dor de estômago.
eu tive uma dor de estômago.;ficou melhor?
ficou melhor?;ainda estou me sentindo mal.
ainda estou me sentindo mal.;você gostaria de algo para o seu estômago?
você gostaria de algo para o seu estômago?;tomei algo mais cedo.
tomei algo mais cedo.;melhorar.
melhorar.;Muito obrigado.
por que você não foi à escola ontem?;fiquei em casa porque não estava me sentindo bem.
fiquei em casa porque não estava me sentindo bem.;qual foi o seu problema?
qual foi o seu problema?;meu estômago estava me incomodando.
meu estômago estava me incomodando.;Você está se sentindo melhor?
Você está se sentindo melhor?;ainda estou me sentindo um pouco doente.
ainda estou me sentindo um pouco doente.;estou indo na loja, gostaria de algum pepto bismol?
estou indo na loja, gostaria de algum pepto bismol?;tudo bem.
tudo bem.;espero que você se sinta melhor.
você ouviu a boa notícia?;não, eu não tenho.
não, eu não tenho.;consegui uma promoção no meu trabalho.
consegui uma promoção no meu trabalho.;você realmente?
você realmente?;sério, estou muito animada.
sério, estou muito animada.;bem, parabéns.
bem, parabéns.;obrigada.
obrigada.;eu estou tão feliz por você.
eu estou tão feliz por você.;Sério?
Sério?;sim. você realmente merecia isso.
sim. você realmente merecia isso.;você acha?
você acha?;sim. bom para você.
você ouviu minha boa notícia?;você ainda não me contou nada.
você ainda não me contou nada.;eu tenho uma promoção no trabalho no início desta semana.
eu tenho uma promoção no trabalho no início desta semana.;Isso está certo?
Isso está certo?;é a verdade. Eu estou realmente feliz.
é a verdade. Eu estou realmente feliz.;Parabéns pela sua promoção.
Parabéns pela sua promoção.;Muito obrigado.
Muito obrigado.;estou realmente animado por você.
estou realmente animado por você.;você é mesmo?
você é mesmo?;Estou falando sério. você merecia essa promoção.
Estou falando sério. você merecia essa promoção.;é isso que você realmente pensa?
é isso que você realmente pensa?;sim eu quero.
Eu ainda não contei o que aconteceu, contei?;eu não ouvi nada.
eu não ouvi nada.;meu chefe me ofereceu uma promoção e eu aceitei.
meu chefe me ofereceu uma promoção e eu aceitei.;você está falando sério?
você está falando sério?;sim, estou muito animado.
sim, estou muito animado.;isso é ótimo. Parabéns.
isso é ótimo. Parabéns.;Obrigado.
Obrigado.;você não tem ideia de como estou feliz por você.
você não tem ideia de como estou feliz por você.;sério?
você está muito bonita hoje.;obrigada. eu só tenho essa roupa no outro dia.
obrigada. eu só tenho essa roupa no outro dia.;realmente, onde você conseguiu?
realmente, onde você conseguiu?;eu peguei na macy's.
eu peguei na macy's.;é muito bom.
é muito bom.;obrigado novamente. você está linda hoje também.
obrigado novamente. você está linda hoje também.;obrigada. eu só tenho esses sapatos hoje.
obrigada. eu só tenho esses sapatos hoje.;Sério? que tipo de sapatos são?
Sério? que tipo de sapatos são?;estes são chamados all star chuck taylors.
estes são chamados all star chuck taylors.;eu realmente gosto daqueles. Quanto é que eles custaram?
eu realmente gosto daqueles. Quanto é que eles custaram?;eles eram cerca de quarenta dólares.
eles eram cerca de quarenta dólares.;acho que vou comprar um par.
Eu absolutamente amo o que você está vestindo hoje.;Você faz? Acabei de comprar esta roupa há alguns dias.
Você faz? Acabei de comprar esta roupa há alguns dias.;sério, ficou muito legal em você. de onde você comprou?
sério, ficou muito legal em você. de onde você comprou?;comprei na macy's no shopping santa anita.
comprei na macy's no shopping santa anita.;eu realmente gosto dessa roupa.
eu realmente gosto dessa roupa.;obrigado. eu acho que você está bonita hoje, também.
obrigado. eu acho que você está bonita hoje, também.;obrigada. Acabei de comprar esses sapatos novos hoje cedo.
obrigada. Acabei de comprar esses sapatos novos hoje cedo.;esses são legais. o que eles são?
esses são legais. o que eles são?;estes são alguns mandris.
estes são alguns mandris.;esses são ótimos. quanto eram?
esses são ótimos. quanto eram?;eu tenho-os por quarenta.
eu tenho-os por quarenta.;acho que posso ir e encontrar meu próprio par de mandris.
eu acho que você está muito bonito hoje.;Isso está certo? esta é uma roupa totalmente nova.
Isso está certo? esta é uma roupa totalmente nova.;de qual loja vc pegou?
de qual loja vc pegou?;fui na macy's e comprei.
fui na macy's e comprei.;eu amo sua roupa agora.
eu amo sua roupa agora.;Bem, eu acho que você está bonita hoje também.
Bem, eu acho que você está bonita hoje também.;obrigado. eu encontrei esses sapatos novos mais cedo na loja.
obrigado. eu encontrei esses sapatos novos mais cedo na loja.;eu acho que esses são alguns sapatos muito bonitos. que tipo eles são?
eu acho que esses são alguns sapatos muito bonitos. que tipo eles são?;estes são mandris.
estes são mandris.;seus sapatos parecem muito bons. por quanto você conseguiu eles?
seus sapatos parecem muito bons. por quanto você conseguiu eles?;eles só me custaram cerca de quarenta dólares.
me diga, o que você gosta de fazer no seu tempo livre?;eu gosto de desenhar e pintar.
eu gosto de desenhar e pintar.;sabe desenhar e pintar?
sabe desenhar e pintar?;sim eu quero.
sim eu quero.;quando você aprendeu a fazer isso?
quando você aprendeu a fazer isso?;eu aprendi no ensino médio.
eu aprendi no ensino médio.;oh, então você fez uma aula de arte?
oh, então você fez uma aula de arte?;sim, eu amei essa aula.
sim, eu amei essa aula.;vejo que você é muito talentoso.
vejo que você é muito talentoso.;Muito obrigado.
Muito obrigado.;gostaria de ter um talento assim.
gostaria de ter um talento assim.;tenho certeza que você tem um talento. está apenas escondido.
que tipo de coisas você gosta de fazer?;sempre gostei de desenhar e pintar.
sempre gostei de desenhar e pintar.;Eu não sabia que você sabia desenhar e pintar.
Eu não sabia que você sabia desenhar e pintar.;eu faço isso de vez em quando.
eu faço isso de vez em quando.;há quanto tempo você sabe como fazer isso?
há quanto tempo você sabe como fazer isso?;eu aprendi a fazê-lo pela primeira vez no ensino médio.
eu aprendi a fazê-lo pela primeira vez no ensino médio.;você fez algum tipo de aula de arte ou algo assim?
você fez algum tipo de aula de arte ou algo assim?;essa era minha aula favorita.
essa era minha aula favorita.;você tem que ser talentoso.
você tem que ser talentoso.;obrigado.
obrigado.;se eu fosse talentoso.
se eu fosse talentoso.;você tem um talento. você só não sabe o que é ainda.
existem hobbies que você faz?;quando tenho tempo, às vezes desenho e pinto.
quando tenho tempo, às vezes desenho e pinto.;oh, você realmente faz isso?
oh, você realmente faz isso?;de vez em quando, eu faço.
de vez em quando, eu faço.;sempre soube desenhar e pintar?
sempre soube desenhar e pintar?;eu fui ensinado na escola como desenhar e pintar.
eu fui ensinado na escola como desenhar e pintar.;você teve uma aula de arte?
você teve uma aula de arte?;exatamente, era minha aula favorita.
exatamente, era minha aula favorita.;bem, é bom que você seja tão talentoso.
bem, é bom que você seja tão talentoso.;Obrigado.
Obrigado.;talento é uma grande coisa, eu gostaria de ter um.
qual seu filme favorito?;meu filme favorito é super ruim.
meu filme favorito é super ruim.;ai, por que isso?
ai, por que isso?;é o filme mais engraçado que eu já vi.
é o filme mais engraçado que eu já vi.;isso é verdade. é um filme muito engraçado.
isso é verdade. é um filme muito engraçado.;você já viu isso antes?
você já viu isso antes?;sim, eu vi esse filme no primeiro dia que saiu nos cinemas.
sim, eu vi esse filme no primeiro dia que saiu nos cinemas.;você não riu durante todo o filme? Eu fiz.
você não riu durante todo o filme? Eu fiz.;eu também. esse filme trouxe lágrimas aos meus olhos.
eu também. esse filme trouxe lágrimas aos meus olhos.;meu também.
meu também.;eu tenho em dvd na minha casa se você quiser vir e assistir.
eu tenho em dvd na minha casa se você quiser vir e assistir.;claro, vamos.
qual filme é o seu favorito para assistir?;eu tenho que dizer, meu filme favorito é superbad.
eu tenho que dizer, meu filme favorito é superbad.;Isso está certo? porque?
Isso está certo? porque?;honestamente, é um dos filmes mais engraçados que eu já vi em muito tempo.
honestamente, é um dos filmes mais engraçados que eu já vi em muito tempo.;você tem razão. esse filme é hilário.
você tem razão. esse filme é hilário.;eu não acho que você viu esse filme.
eu não acho que você viu esse filme.;Fui ver no dia em que saiu.
Fui ver no dia em que saiu.;eu estava rindo durante todo o filme.
eu estava rindo durante todo o filme.;também não pude deixar de rir.
também não pude deixar de rir.;mesmo aqui.
mesmo aqui.;eu comprei o filme. você gostaria de vir a minha casa e assistir?
eu comprei o filme. você gostaria de vir a minha casa e assistir?;é claro.
de todos os filmes que você viu, qual é o seu favorito?;eu vou ter que dizer que superbad é o melhor filme de todos os tempos.
eu vou ter que dizer que superbad é o melhor filme de todos os tempos.;você acha, como assim?
você acha, como assim?;bem, superbad é super engraçado.
bem, superbad é super engraçado.;você não está mentindo, eu achei esse filme absolutamente hilário.
você não está mentindo, eu achei esse filme absolutamente hilário.;eu não sabia que você viu superbad antes.
eu não sabia que você viu superbad antes.;Eu me certifiquei de estar na fila para vê-lo no primeiro dia em que foi lançado.
Eu me certifiquei de estar na fila para vê-lo no primeiro dia em que foi lançado.;Eu não pude deixar de rir durante todo o filme.
Eu não pude deixar de rir durante todo o filme.;"eu estava rindo histericamente o tempo todo; meus músculos do estômago doeram depois."
"eu estava rindo histericamente o tempo todo; meus músculos do estômago doeram depois.";foi exatamente assim que me senti.
foi exatamente assim que me senti.;eu tenho o filme quando ele saiu em dvd, você quer vir?
que tipo de música você gosta de ouvir?;eu gosto de ouvir diferentes tipos de música.
eu gosto de ouvir diferentes tipos de música.;como o que, por exemplo?
como o que, por exemplo?;eu gosto de rock e r&b.
eu gosto de rock e r&b.;por que é que?
por que é que?;eu gosto dos diferentes instrumentos que eles usam.
eu gosto dos diferentes instrumentos que eles usam.;essa é uma boa razão para gostar de algo.
essa é uma boa razão para gostar de algo.;sim, eu também acho.
que tipo de música você gosta de ouvir?;eu gosto de ouvir todos os tipos de música.
eu gosto de ouvir todos os tipos de música.;que tipo?
que tipo?;eu gosto de ouvir rock e r&b.
eu gosto de ouvir rock e r&b.;por que você gosta desse tipo de música?
por que você gosta desse tipo de música?;eu gosto dos tipos de instrumentos que eles usam.
eu gosto dos tipos de instrumentos que eles usam.;eu acho que é uma excelente razão para gostar de algo.
eu acho que é uma excelente razão para gostar de algo.;obrigado, sinto o mesmo.
Qual seu tipo favorito de música?;eu escuto vários tipos de música.
eu escuto vários tipos de música.;quais gêneros?
quais gêneros?;eu gosto de ouvir rock e r&b.
eu gosto de ouvir rock e r&b.;o que te interessa nesse tipo de música?
o que te interessa nesse tipo de música?;eu gosto dos diferentes tipos de instrumentos que eles usam.
eu gosto dos diferentes tipos de instrumentos que eles usam.;essa é uma razão perfeita para gostar de um certo tipo de música.
você foi ao jogo de basquete na sexta-feira?;não, eu não consegui.
não, eu não consegui.;você perdeu um jogo muito bom.
você perdeu um jogo muito bom.;oh sério? quem ganhou?
oh sério? quem ganhou?;nossa escola fez. eles jogaram muito bem.
nossa escola fez. eles jogaram muito bem.;pena que eu estava ocupado. eu realmente queria ir.
pena que eu estava ocupado. eu realmente queria ir.;sim, você deveria ter. foi realmente emocionante.
sim, você deveria ter. foi realmente emocionante.;Então, qual foi o resultado?
Então, qual foi o resultado?;o placar foi 101-98.
o placar foi 101-98.;cara, esse foi um jogo muito renhido.
cara, esse foi um jogo muito renhido.;isso é o que o tornou tão grande.
isso é o que o tornou tão grande.;eu vou ter certeza e fazê-lo para o próximo.
você foi capaz de assistir ao jogo de basquete de sexta à noite?;não consegui.
não consegui.;Você deveria ter estado lá. foi intenso.
Você deveria ter estado lá. foi intenso.;Isso está certo. quem acabou ganhando?
Isso está certo. quem acabou ganhando?;nossa equipe foi vitoriosa.
nossa equipe foi vitoriosa.;eu gostaria de estar livre naquela noite. estou meio louco por não ter ido.
eu gostaria de estar livre naquela noite. estou meio louco por não ter ido.;Foi um bom jogo.
Foi um bom jogo.;qual foi o placar no final do jogo?
qual foi o placar no final do jogo?;nossa equipe venceu por 101-98.
nossa equipe venceu por 101-98.;parece que foi um jogo acirrado.
parece que foi um jogo acirrado.;é por isso que foi um jogo tão bom.
é por isso que foi um jogo tão bom.;no próximo jogo, com certeza estarei lá.
Eu queria perguntar se você viu o jogo de basquete na sexta-feira.;eu queria ir, mas não podia.
eu queria ir, mas não podia.;Foi um bom jogo.
Foi um bom jogo.;é muito ruim que eu não poderia fazê-lo. quem ganhou?
é muito ruim que eu não poderia fazê-lo. quem ganhou?;nosso time jogou duro e venceu.
nosso time jogou duro e venceu.;eu realmente gostaria de ter ido ao jogo.
eu realmente gostaria de ter ido ao jogo.;foi o melhor jogo de todos os tempos.
foi o melhor jogo de todos os tempos.;então me diga a pontuação final.
então me diga a pontuação final.;a outra equipe perdeu por três pontos, 101-98.
a outra equipe perdeu por três pontos, 101-98.;deve ter sido um jogo renhido.
deve ter sido um jogo renhido.;realmente era. você deveria ter ido.
o que você está fazendo neste fim de semana?;vou ao cinema com um amigo. e você?
vou ao cinema com um amigo. e você?;Eu ainda não tenho certeza.
Eu ainda não tenho certeza.;bem, você quer ir ver um filme comigo?
bem, você quer ir ver um filme comigo?;que filme você vai ver?
que filme você vai ver?;Eu ainda não tenho certeza. há algo que você quer ver?
Eu ainda não tenho certeza. há algo que você quer ver?;não há nada que eu possa pensar.
não há nada que eu possa pensar.;então, você queria ir?
então, você queria ir?;não, obrigado, talvez outra hora.
não, obrigado, talvez outra hora.;Ok, parece bom.
já sabe o que vai fazer neste fim de semana?;vou ver um filme com um amigo meu. e você?
vou ver um filme com um amigo meu. e você?;Eu não sei.
Eu não sei.;você gostaria de ver um filme comigo e meu amigo?
você gostaria de ver um filme comigo e meu amigo?;sabe que filme vai assistir?
sabe que filme vai assistir?;Eu não sei, mas havia algum filme que você queria ver?
Eu não sei, mas havia algum filme que você queria ver?;nenhum que eu possa pensar.
nenhum que eu possa pensar.;bem, você gostaria de ir?
bem, você gostaria de ir?;obrigado por me convidar, mas acho que vou passar.
obrigado por me convidar, mas acho que vou passar.;tudo bem. outra vez então.
você tem alguma idéia do que você quer fazer neste fim de semana?;vou ao cinema com meu amigo. o que você vai fazer?
vou ao cinema com meu amigo. o que você vai fazer?;ainda não tenho certeza.
ainda não tenho certeza.;que tal você ver um filme comigo e meu amigo?
que tal você ver um filme comigo e meu amigo?;que filme você e seu amigo estão planejando assistir?
que filme você e seu amigo estão planejando assistir?;não tenho certeza. existe um filme que chama sua atenção?
não tenho certeza. existe um filme que chama sua atenção?;nenhum bom filme vem à mente.
nenhum bom filme vem à mente.;já decidiu se quer ir ou não?
já decidiu se quer ir ou não?;não, obrigado. talvez outra hora.
você foi a escola hoje?;Sim, eu fui para a escola hoje. você estava lá?
Sim, eu fui para a escola hoje. você estava lá?;não, não fui, estive doente.
não, não fui, estive doente.;isso é péssimo. você queria as tarefas da aula de inglês?
isso é péssimo. você queria as tarefas da aula de inglês?;isso seria bom, obrigado.
isso seria bom, obrigado.;sem problemas, de nada.
sem problemas, de nada.;ficarei feliz em fazer o mesmo por você quando estiver doente.
ficarei feliz em fazer o mesmo por você quando estiver doente.;bem, obrigado. espero vê-lo na escola amanhã.
você frequentou a escola hoje?;eu frequentei a escola hoje. você fez?
eu frequentei a escola hoje. você fez?;não pude ir à escola porque estava me sentindo mal.
não pude ir à escola porque estava me sentindo mal.;sinto muito por ouvir isso. você gostaria das tarefas da aula de inglês?
sinto muito por ouvir isso. você gostaria das tarefas da aula de inglês?;eu realmente apreciaria isso, obrigado.
eu realmente apreciaria isso, obrigado.;não é problema nenhum.
não é problema nenhum.;se você ficar doente, eu retribuirei o favor.
